id,srcLatitude,srcLongitude,destLatitude,destLongitude,distance,parent
11765,29.98,-95.34,35.22,-101.71,834.0519024,0
11766,55.97,37.41,56.92,23.97,833.9457289,0
11767,47.99,10.24,40.63,8.29,833.3758324,0
11768,53.35,-2.27,50.03,8.54,833.3740945,0
11769,40.9,29.31,36.95,37.48,833.024122,0
11770,44.54,11.29,41.3,2.08,832.8572153,0
11771,43.44,5.21,50.9,4.48,832.7776485,0
11772,12.35,-1.51,5.26,-3.93,832.7739068,0
11773,48.54,7.63,41.8,12.25,832.6546401,0
11774,54.38,18.47,50.03,8.54,832.4132011,0
11775,34.99,-3.03,41.3,2.08,832.3564497,0
11776,39.86,-104.67,46.78,-100.76,832.3147738,0
11777,45.45,9.28,52.31,4.76,832.2985101,0
11778,45.81,21.34,41.8,12.59,832.2145106,0
11779,6.52,101.74,13.91,100.61,832.1696559,0
11780,43.66,7.22,50.9,4.48,832.1167659,0
11781,33.48,131.74,35.76,140.39,832.0744651,0
11782,49.01,2.55,44.54,11.29,831.9805465,0
11783,50.44,-5,51.29,6.77,831.8109667,0
11784,-27.39,-55.97,-34.56,-58.42,831.788989,0
11785,48.11,16.57,44.57,26.1,831.6997206,0
11786,22.64,113.81,26.54,106.8,831.6922327,0
11787,56.92,23.97,60.19,11.1,831.3816457,0
11788,33.15,130.3,31.14,121.81,831.3142803,0
11789,26.54,-81.76,33.64,-84.43,831.1614358,0
11790,32.13,-81.2,38.94,-77.46,831.1521857,0
11791,65.57,-37.12,70.74,-22.66,831.1378471,0
11792,47.43,0.73,53.42,-6.27,831.0386232,0
11793,36.89,-76.2,33.64,-84.43,830.9609207,0
11794,45.63,8.73,47.44,19.26,830.8702024,0
11795,30.67,111.44,23.39,113.3,830.7798557,0
11796,46.79,-71.39,39.87,-75.24,830.7386587,0
11797,51.89,0.24,51.43,12.24,830.6964581,0
11798,36.74,-6.06,39.55,2.73,830.3579786,0
11799,28.87,115.9,22.58,120.35,830.0015529,0
11800,40.89,14.29,47.44,19.26,829.9371386,0
11801,39.72,-86.29,39.18,-76.67,829.6247189,0
11802,43.66,7.22,50.56,3.09,829.5287922,0
11803,39.87,-75.24,34.9,-82.22,829.2477885,0
11804,47.46,8.55,54.91,8.34,829.1490341,0
11805,32.98,112.62,39.78,116.39,829.0958442,0
11806,-23.01,-47.13,-20.47,-54.67,828.990495,0
11807,52.38,13.52,45.63,8.73,828.7886594,0
11808,21.21,110.36,28.19,113.22,828.4684122,0
11809,-33.39,-70.79,-40.61,-73.06,828.4572429,0
11810,51.02,71.47,44.71,65.59,828.4308963,0
11811,27.91,-82.69,35.04,-85.2,828.2251399,0
11812,46.29,-63.12,45.47,-73.74,828.0101952,0
11813,38.48,106.01,34.52,113.84,827.9717069,0
11814,44.52,129.57,37.47,126.45,827.7539722,0
11815,23.59,58.28,26.27,50.63,827.7203824,0
11816,40.98,28.81,36.36,36.28,827.6031915,0
11817,30.78,114.21,23.39,113.3,827.5744612,0
11818,53.63,9.99,59.65,17.92,827.5674901,0
11819,38.14,140.92,34.44,132.92,827.5229836,0
11820,27.91,120.85,35.05,118.41,827.0964114,0
11821,35.89,128.66,31.14,121.81,827.094987,0
11822,48.73,2.36,41.3,2.08,827.0543142,0
11823,-8.76,116.28,-10.17,123.67,826.924509,0
11824,49.63,6.21,42.55,9.48,826.8620354,0
11825,25.08,121.23,23.39,113.3,826.8198611,0
11826,24.94,98.48,30.58,103.95,826.8115245,0
11827,8.62,-13.2,14.74,-17.49,826.8002212,0
11828,24.07,-110.36,20.52,-103.31,826.7340039,0
11829,48.73,2.36,44.54,11.29,826.6594019,0
11830,43.68,10.39,37,14.61,825.6539288,0
11831,54.63,25.29,52.56,13.29,825.6300418,0
11832,40.52,22.97,47.44,19.26,825.4063731,0
11833,26.54,106.8,19.93,110.46,824.7390163,0
11834,35.81,-83.99,28.78,-81.24,824.657685,0
11835,32.66,13.16,32.79,21.96,824.6411277,0
11836,27.91,120.85,33.51,126.49,824.4765221,0
11837,37.72,-122.22,43.56,-116.22,824.3623361,0
11838,41.38,123.29,35.05,118.41,824.2325955,0
11839,48.11,16.57,40.89,14.29,824.166918,0
11840,25.69,-109.08,20.52,-103.31,824.1135653,0
11841,45.4,10.89,38.18,13.09,824.0895333,0
11842,44.82,20.31,37.94,23.94,823.9662158,0
11843,35.02,110.99,30.58,103.95,823.8597136,0
11844,28.78,-81.24,36.1,-79.94,823.8328308,0
11845,-3.37,135.5,-3.71,128.09,823.7377319,0
11846,47.59,7.53,41.3,2.08,823.5359554,0
11847,31.14,121.81,37.47,126.45,823.4752777,0
11848,53.05,8.79,45.67,9.7,823.3744664,0
11849,-16.63,-49.22,-23.63,-46.66,823.371574,0
11850,43.66,7.22,36.28,6.62,823.228209,0
11851,47.45,-122.31,47.48,-111.37,823.1982311,0
11852,41.98,-87.9,34.64,-86.78,823.0360534,0
11853,56.93,14.73,52.31,4.76,822.8034359,0
11854,29.83,121.46,28.19,113.22,822.7668199,0
11855,35.04,-89.98,35.21,-80.94,822.5975185,0
11856,50.46,4.45,43.22,2.31,822.5890983,0
11857,33.85,131.03,35.55,139.78,822.5057783,0
11858,-25.6,-54.49,-23.63,-46.66,822.2778764,0
11859,37.75,112.63,36.12,103.62,822.0643131,0
11860,36.86,117.22,37.47,126.45,821.9769414,0
11861,53.58,14.9,58.88,5.64,821.9538161,0
11862,-9.44,147.22,-2.06,147.42,821.8705573,0
11863,67.7,24.85,60.32,24.96,821.8365954,0
